run_id,batch,task_id,repeat,trial_status,disk_write_success,test_success,clean_audit,unexpected_mutations,overall_success,latency_ms,prompt_eval_count,eval_count
"BASELINE_BATCH_B_M4_OVERWRITE_PROOF_rep3","batch_b","M4_OVERWRITE_PROOF",3,"VALID_FAIL",false,null,true,0,false,3407,584,87
"BASELINE_BATCH_B_M4_OVERWRITE_PROOF_rep4","batch_b","M4_OVERWRITE_PROOF",4,"VALID_FAIL",false,null,true,0,false,3376,584,87
"BASELINE_BATCH_B_M4_OVERWRITE_PROOF_rep5","batch_b","M4_OVERWRITE_PROOF",5,"VALID_FAIL",false,null,true,0,false,3393,584,87
"BASELINE_BATCH_B_M5_SMALL_PATCH_rep1","batch_b","M5_SMALL_PATCH",1,"VALID_FAIL",false,null,true,0,false,11859,7399,197
"BASELINE_BATCH_B_M5_SMALL_PATCH_rep2","batch_b","M5_SMALL_PATCH",2,"VALID_FAIL",false,null,true,0,false,11803,7399,197
"BASELINE_BATCH_B_M5_SMALL_PATCH_rep3","batch_b","M5_SMALL_PATCH",3,"VALID_FAIL",false,null,true,0,false,11632,7399,197
"BASELINE_BATCH_B_M5_SMALL_PATCH_rep4","batch_b","M5_SMALL_PATCH",4,"VALID_FAIL",false,null,true,0,false,11662,7399,197
"BASELINE_BATCH_B_M5_SMALL_PATCH_rep5","batch_b","M5_SMALL_PATCH",5,"VALID_FAIL",false,null,true,0,false,11635,7399,197
"BASELINE_BATCH_B_M6_PRESERVE_SENTINELS_rep1","batch_b","M6_PRESERVE_SENTINELS",1,"VALID_PASS",true,null,true,0,true,12142,7117,142
"BASELINE_BATCH_B_M6_PRESERVE_SENTINELS_rep2","batch_b","M6_PRESERVE_SENTINELS",2,"VALID_FAIL",true,null,false,1,false,25485,16818,259
"BASELINE_BATCH_B_M6_PRESERVE_SENTINELS_rep3","batch_b","M6_PRESERVE_SENTINELS",3,"VALID_FAIL",false,null,true,0,false,12028,7479,197
"BASELINE_BATCH_B_M6_PRESERVE_SENTINELS_rep4","batch_b","M6_PRESERVE_SENTINELS",4,"VALID_FAIL",true,null,false,1,false,18219,17499,166
"BASELINE_BATCH_B_M6_PRESERVE_SENTINELS_rep5","batch_b","M6_PRESERVE_SENTINELS",5,"VALID_PASS",true,null,true,0,true,11896,7093,133
"BASELINE_BATCH_B_M7_LINE_ENDINGS_rep1","batch_b","M7_LINE_ENDINGS",1,"VALID_FAIL",false,null,true,0,false,11978,7399,197
"BASELINE_BATCH_B_M7_LINE_ENDINGS_rep2","batch_b","M7_LINE_ENDINGS",2,"VALID_FAIL",false,null,true,0,false,11771,7399,197
"BASELINE_BATCH_B_M7_LINE_ENDINGS_rep3","batch_b","M7_LINE_ENDINGS",3,"VALID_FAIL",false,null,true,0,false,11757,7399,197
"BASELINE_BATCH_B_M7_LINE_ENDINGS_rep4","batch_b","M7_LINE_ENDINGS",4,"VALID_FAIL",false,null,true,0,false,11665,7399,197
"BASELINE_BATCH_B_M7_LINE_ENDINGS_rep5","batch_b","M7_LINE_ENDINGS",5,"VALID_FAIL",false,null,true,0,false,11637,7399,197
"BASELINE_BATCH_B_M8_DISTRACTOR_FILES_rep1","batch_b","M8_DISTRACTOR_FILES",1,"VALID_FAIL",false,false,true,0,false,11926,7479,197
"BASELINE_BATCH_B_M8_DISTRACTOR_FILES_rep2","batch_b","M8_DISTRACTOR_FILES",2,"VALID_FAIL",false,false,true,0,false,11758,7479,197
"BASELINE_BATCH_B_M8_DISTRACTOR_FILES_rep3","batch_b","M8_DISTRACTOR_FILES",3,"VALID_FAIL",false,false,true,0,false,11697,7479,197
"BASELINE_BATCH_B_M8_DISTRACTOR_FILES_rep4","batch_b","M8_DISTRACTOR_FILES",4,"VALID_FAIL",false,false,true,0,false,11666,7479,197
"BASELINE_BATCH_B_M8_DISTRACTOR_FILES_rep5","batch_b","M8_DISTRACTOR_FILES",5,"VALID_FAIL",false,false,true,0,false,11621,7479,197
"BASELINE_BATCH_B_M9_DISAMBIGUATION_rep1","batch_b","M9_DISAMBIGUATION",1,"VALID_PASS",true,true,true,0,true,12662,9435,126
"BASELINE_BATCH_B_M9_DISAMBIGUATION_rep2","batch_b","M9_DISAMBIGUATION",2,"VALID_FAIL",true,false,false,1,false,21169,16529,229
"BASELINE_BATCH_B_M9_DISAMBIGUATION_rep3","batch_b","M9_DISAMBIGUATION",3,"VALID_PASS",true,true,true,0,true,12423,9435,126
"BASELINE_BATCH_B_M9_DISAMBIGUATION_rep4","batch_b","M9_DISAMBIGUATION",4,"VALID_PASS",true,true,true,0,true,12132,9435,126
"BASELINE_BATCH_B_M9_DISAMBIGUATION_rep5","batch_b","M9_DISAMBIGUATION",5,"VALID_PASS",true,true,true,0,true,12080,9435,126
"BASELINE_BATCH_B_M10_RETRY_RECOVERY_rep1","batch_b","M10_RETRY_RECOVERY",1,"VALID_PASS",true,true,true,0,true,17466,17179,178
"BASELINE_BATCH_B_M10_RETRY_RECOVERY_rep2","batch_b","M10_RETRY_RECOVERY",2,"VALID_FAIL",false,false,true,0,false,21952,14545,391
"BASELINE_BATCH_B_M10_RETRY_RECOVERY_rep3","batch_b","M10_RETRY_RECOVERY",3,"VALID_FAIL",false,false,true,0,false,24596,16772,370
"BASELINE_BATCH_B_M10_RETRY_RECOVERY_rep4","batch_b","M10_RETRY_RECOVERY",4,"VALID_FAIL",false,false,true,0,false,21842,14545,391
"BASELINE_BATCH_B_M10_RETRY_RECOVERY_rep5","batch_b","M10_RETRY_RECOVERY",5,"VALID_PASS",true,true,true,0,true,17572,17349,183
"BASELINE_BATCH_B_M11_CONSTRAINT_RETENTION_rep1","batch_b","M11_CONSTRAINT_RETENTION",1,"VALID_FAIL",false,false,true,0,false,4629,605,113
"BASELINE_BATCH_B_M11_CONSTRAINT_RETENTION_rep2","batch_b","M11_CONSTRAINT_RETENTION",2,"VALID_FAIL",false,false,true,0,false,4314,605,113
"BASELINE_BATCH_B_M11_CONSTRAINT_RETENTION_rep3","batch_b","M11_CONSTRAINT_RETENTION",3,"VALID_FAIL",false,false,true,0,false,4296,605,113
"BASELINE_BATCH_B_M11_CONSTRAINT_RETENTION_rep4","batch_b","M11_CONSTRAINT_RETENTION",4,"VALID_FAIL",false,false,true,0,false,4320,605,113
"BASELINE_BATCH_B_M11_CONSTRAINT_RETENTION_rep5","batch_b","M11_CONSTRAINT_RETENTION",5,"VALID_FAIL",false,false,true,0,false,4280,605,113
"BASELINE_BATCH_B_M12_FOCUSED_FILE_rep1","batch_b","M12_FOCUSED_FILE",1,"VALID_FAIL",false,false,true,0,false,10608,6379,156
"BASELINE_BATCH_B_M12_FOCUSED_FILE_rep2","batch_b","M12_FOCUSED_FILE",2,"VALID_FAIL",false,false,true,0,false,10349,6379,156
"BASELINE_BATCH_B_M12_FOCUSED_FILE_rep3","batch_b","M12_FOCUSED_FILE",3,"VALID_FAIL",false,false,true,0,false,10511,6379,156
"BASELINE_BATCH_B_M12_FOCUSED_FILE_rep4","batch_b","M12_FOCUSED_FILE",4,"VALID_FAIL",false,false,true,0,false,10685,6379,156
"BASELINE_BATCH_B_M12_FOCUSED_FILE_rep5","batch_b","M12_FOCUSED_FILE",5,"VALID_FAIL",false,false,true,0,false,10562,6379,156
"BASELINE_BATCH_B_M13_EXPLICIT_OVERRIDES_FOCUS_rep1","batch_b","M13_EXPLICIT_OVERRIDES_FOCUS",1,"VALID_FAIL",true,null,false,1,false,23121,17913,225
"BASELINE_BATCH_B_M13_EXPLICIT_OVERRIDES_FOCUS_rep2","batch_b","M13_EXPLICIT_OVERRIDES_FOCUS",2,"VALID_FAIL",true,null,false,1,false,23210,16324,278
"BASELINE_BATCH_B_M13_EXPLICIT_OVERRIDES_FOCUS_rep3","batch_b","M13_EXPLICIT_OVERRIDES_FOCUS",3,"VALID_FAIL",true,null,false,1,false,23608,17935,233
"BASELINE_BATCH_B_M13_EXPLICIT_OVERRIDES_FOCUS_rep4","batch_b","M13_EXPLICIT_OVERRIDES_FOCUS",4,"VALID_FAIL",true,null,false,1,false,23428,17935,231
"BASELINE_BATCH_B_M13_EXPLICIT_OVERRIDES_FOCUS_rep5","batch_b","M13_EXPLICIT_OVERRIDES_FOCUS",5,"VALID_FAIL",true,null,false,1,false,26958,17679,233
"BASELINE_BATCH_B_M14_STALE_CONTENT_SAFETY_rep1","batch_b","M14_STALE_CONTENT_SAFETY",1,"VALID_FAIL",false,null,true,0,false,12446,7439,197
"BASELINE_BATCH_B_M14_STALE_CONTENT_SAFETY_rep2","batch_b","M14_STALE_CONTENT_SAFETY",2,"VALID_FAIL",false,null,true,0,false,11609,7439,197
"BASELINE_BATCH_B_M14_STALE_CONTENT_SAFETY_rep3","batch_b","M14_STALE_CONTENT_SAFETY",3,"VALID_FAIL",false,null,true,0,false,11730,7439,197
"BASELINE_BATCH_B_M14_STALE_CONTENT_SAFETY_rep4","batch_b","M14_STALE_CONTENT_SAFETY",4,"VALID_FAIL",false,null,true,0,false,11684,7439,197
"BASELINE_BATCH_B_M14_STALE_CONTENT_SAFETY_rep5","batch_b","M14_STALE_CONTENT_SAFETY",5,"VALID_FAIL",false,null,true,0,false,11732,7439,197
"BASELINE_BATCH_C_M1_EXACT_FILE_rep1","batch_c","M1_EXACT_FILE",1,"VALID_FAIL",false,false,true,0,false,12096,7527,197
"BASELINE_BATCH_C_M1_EXACT_FILE_rep2","batch_c","M1_EXACT_FILE",2,"VALID_FAIL",false,false,true,0,false,11653,7527,197
"BASELINE_BATCH_C_M1_EXACT_FILE_rep3","batch_c","M1_EXACT_FILE",3,"VALID_FAIL",false,false,true,0,false,11657,7527,197
"BASELINE_BATCH_C_M1_EXACT_FILE_rep4","batch_c","M1_EXACT_FILE",4,"VALID_FAIL",false,false,true,0,false,11690,7527,197
"BASELINE_BATCH_C_M1_EXACT_FILE_rep5","batch_c","M1_EXACT_FILE",5,"VALID_FAIL",false,false,true,0,false,11770,7527,197
"BASELINE_BATCH_C_M2_DISCOVER_FILE_rep1","batch_c","M2_DISCOVER_FILE",1,"VALID_FAIL",false,false,true,0,false,3418,1227,52
"BASELINE_BATCH_C_M2_DISCOVER_FILE_rep2","batch_c","M2_DISCOVER_FILE",2,"VALID_FAIL",true,false,false,1,false,30302,13398,429
"BASELINE_BATCH_C_M2_DISCOVER_FILE_rep3","batch_c","M2_DISCOVER_FILE",3,"VALID_FAIL",false,false,true,0,false,7774,3087,112
