run_id,candidate,task_id,repeat,disk_write_success,test_success,clean_audit,unexpected_mutations,stale_write_blocked,overall_success,latency_ms
"EDIT_V2_C1_OLD_LINE_M7_LINE_ENDINGS_rep1","C1_OLD_LINE","M7_LINE_ENDINGS",1,true,null,false,1,false,false,61186
"EDIT_V2_C1_OLD_LINE_M7_LINE_ENDINGS_rep2","C1_OLD_LINE","M7_LINE_ENDINGS",2,true,null,false,1,false,false,60649
"EDIT_V2_C1_OLD_LINE_M7_LINE_ENDINGS_rep3","C1_OLD_LINE","M7_LINE_ENDINGS",3,true,null,false,1,false,false,61546
"EDIT_V2_C1_OLD_LINE_M7_LINE_ENDINGS_rep4","C1_OLD_LINE","M7_LINE_ENDINGS",4,true,null,false,1,false,false,59470
"EDIT_V2_C1_OLD_LINE_M7_LINE_ENDINGS_rep5","C1_OLD_LINE","M7_LINE_ENDINGS",5,true,null,false,1,false,false,60116
"EDIT_V2_C1_OLD_LINE_M7_LINE_ENDINGS_rep6","C1_OLD_LINE","M7_LINE_ENDINGS",6,true,null,false,1,false,false,53543
"EDIT_V2_C1_OLD_LINE_M7_LINE_ENDINGS_rep7","C1_OLD_LINE","M7_LINE_ENDINGS",7,true,null,false,1,false,false,53483
"EDIT_V2_C1_OLD_LINE_M7_LINE_ENDINGS_rep8","C1_OLD_LINE","M7_LINE_ENDINGS",8,true,null,false,1,false,false,54381
"EDIT_V2_C1_OLD_LINE_M7_LINE_ENDINGS_rep9","C1_OLD_LINE","M7_LINE_ENDINGS",9,true,null,true,0,false,true,59723
"EDIT_V2_C1_OLD_LINE_M7_LINE_ENDINGS_rep10","C1_OLD_LINE","M7_LINE_ENDINGS",10,true,null,false,1,false,false,60591
"EDIT_V2_C1_OLD_LINE_M8_DISTRACTOR_FILES_rep1","C1_OLD_LINE","M8_DISTRACTOR_FILES",1,true,false,false,1,false,false,54440
"EDIT_V2_C1_OLD_LINE_M8_DISTRACTOR_FILES_rep2","C1_OLD_LINE","M8_DISTRACTOR_FILES",2,true,false,false,1,false,false,58324
"EDIT_V2_C1_OLD_LINE_M8_DISTRACTOR_FILES_rep3","C1_OLD_LINE","M8_DISTRACTOR_FILES",3,true,false,false,1,false,false,60044
"EDIT_V2_C1_OLD_LINE_M8_DISTRACTOR_FILES_rep4","C1_OLD_LINE","M8_DISTRACTOR_FILES",4,true,false,false,1,false,false,60266
"EDIT_V2_C1_OLD_LINE_M8_DISTRACTOR_FILES_rep5","C1_OLD_LINE","M8_DISTRACTOR_FILES",5,true,false,false,1,false,false,66991
